Component,Origin,License,Copyright
prod,react-native,MIT,"Copyright (c) Facebook, Inc. and its affiliates."
dev,@babel/plugin-transform-runtime,MIT,"Copyright (c) 2014-present Sebastian McKenzie and other contributors"
dev,@testing-library/react-native,MIT,"Copyright (c) 2018 Callstack and Rally Health"
dev,@types/jest,MIT,"Copyrights are respective of each contributor listed at the beginning of each definition file."
dev,@types/react-native,MIT,"Copyrights are respective of each contributor listed at the beginning of each definition file."
dev,@types/react-test-renderer,MIT,"Copyrights are respective of each contributor listed at the beginning of each definition file."
dev,@typescript-eslint/eslint-plugin,bsd-2-clause,"Copyright JS Foundation and other contributors, https://js.foundation"
dev,@typescript-eslint/parser,bsd-2-clause,"Copyright JS Foundation and other contributors, https://js.foundation"
dev,eslint,MIT,"Copyright OpenJS Foundation and other contributors, <www.openjsf.org>"
dev,eslint-config-prettier,MIT,"Copyright (c) 2017, 2018, 2019, 2020, 2021, 2022 Simon Lydell and contributors"
dev,eslint-plugin-arca,MIT,"Copyright © 2016 Maël Nison"
dev,eslint-plugin-import,MIT,"Copyright (c) 2015 Ben Mosher"
dev,eslint-plugin-prettier,MIT,"Copyright © 2017 Andres Suarez and Teddy Katz"
dev,eslint-plugin-react,MIT,"Copyright (c) 2014 Yannick Croissant"
dev,eslint-plugin-react-hooks,MIT,"Copyright (c) Facebook, Inc. and its affiliates."
dev,eslint-plugin-react-native,MIT,"Copyright (c) 2015 Tom Hastjarjanto"
dev,jest,MIT,"Copyright (c) Facebook, Inc. and its affiliates."
dev,lerna,MIT,"Copyright (c) 2015-present Lerna Contributors"
dev,pod-install,MIT,"Copyright (c) 2020-present 650 Industries, Inc. (aka Expo)"
dev,prettier,MIT,"Copyright © James Long and contributors"
dev,react,MIT,"Copyright (c) Facebook, Inc. and its affiliates."
dev,react-native-builder-bob,MIT,"Copyright (c) 2017 React Native Community"
dev,react-test-renderer,MIT,"Copyright (c) Facebook, Inc. and its affiliates."
dev,typescript,Apache-2.0,"Copyright Microsoft Corporation"
dev,genversion,MIT,"Copyright (c) 2021 Akseli Palén"
